"",".rownames","X1","X2","X3","X4","X5"
"1","able",1,0,0,0,1
"2","about",4,2,2,1,2
"3","above",2,6,4,1,1
"4","abraham",6,0,0,0,0
"5","abroach",1,0,0,0,0
"6","abroad",1,0,1,0,1
"7","according",1,0,0,0,0
"8","account",1,0,0,0,1
"9","accustomd",1,0,0,0,0
"10","act",1,2,1,2,1
"11","add",1,0,0,0,0
"12","adding",1,0,0,0,0
"13","admired",1,0,0,0,0
"14","adversary",1,0,0,0,0
"15","affections",2,1,0,0,0
"16","after",1,2,1,0,1
"17","afternoon",1,2,0,0,0
"18","again",4,8,7,3,5
"19","against",1,3,1,2,3
"20","agatestone",1,0,0,0,0
"21","age",4,0,0,0,2
"22","ago",1,0,1,0,0
"23","agree",1,0,0,0,0
"24","aimd",1,0,0,0,0
"25","air",2,3,1,1,0
"26","airy",1,2,0,0,0
"27","alas",2,1,1,3,1
"28","alderman",1,0,0,0,0
"29","alike",2,1,0,0,0
"30","all",25,12,30,17,11
"31","allcheering",1,0,0,0,0
"32","allseeing",1,0,0,0,0
"33","alone",3,2,1,6,4
"34","along",3,0,0,0,1
"35","already",1,2,0,2,0
"36","ambling",1,0,0,0,0
"37","ambuscadoes",1,0,0,0,0
"38","among",4,1,0,0,1
"39","ancient",4,2,1,2,0
"40","and",168,155,167,93,135
"41","andgodden",1,0,0,0,0
"42","angerd",1,0,0,0,0
"43","angry",1,0,0,0,0
"44","anguish",1,0,0,0,0
"45","anon",3,3,0,0,1
"46","another",2,3,1,2,2
"47","anothers",3,0,0,0,0
"48","anselme",1,0,0,0,0
"49","antic",1,1,0,0,0
"50","antony",1,0,0,0,0
"51","any",4,13,2,0,2
"52","apology",1,0,0,0,0
"53","approach",1,0,0,0,2
"54","april",1,0,0,0,0
"55","are",21,7,19,13,8
"56","armd",1,0,0,0,1
"57","armed",1,0,0,0,0
"58","arrow",1,0,0,0,0
"59","art",6,19,18,3,8
"60","artificial",1,0,0,0,0
"61","aside",2,1,3,1,2
"62","ask",2,1,1,0,1
"63","askd",1,0,0,0,0
"64","asked",2,0,0,0,0
"65","asking",1,0,0,0,0
"66","asleep",3,0,1,1,0
"67","assailing",1,0,0,0,0
"68","assembly",1,0,0,0,0
"69","athwart",1,0,0,0,0
"70","atomies",1,0,0,0,0
"71","attend",1,0,2,0,1
"72","attendants",1,0,0,0,1
"73","augmenting",1,0,0,0,0
"74","auroras",1,0,0,0,0
"75","away",9,3,6,1,4
"76","awhile",2,2,1,0,1
"77","babe",1,0,0,0,0
"78","bachelor",1,0,0,0,0
"79","back",3,9,11,2,3
"80","backs",1,0,0,0,0
"81","backward",3,0,0,0,0
"82","bade",1,2,1,0,1
"83","bakes",1,0,0,0,0
"84","balthasar",1,0,0,0,17
"85","banquet",1,0,0,0,0
"86","beams",1,1,0,0,0
"87","bear",4,2,3,2,1
