,1,2,3,4,5,6,7,8,9,10
dap,0.012395254,0,0,0,0,0,0,0,0,0
map,0.012395254,0,0,0,0,0,0,0,0,0
一銨,0.012395254,0,0,0,0,0,0,0,0,0
並,0.000567176,0.000830618,0,0.000645448,0.000788943,0.001509965,0.000638668,0.000962045,0.001098818,0.000417591
並於,0.004932568,0,0.002167095,0,0,0,0,0.004183317,0,0.003631671
之,0.005104581,0.001661236,0.003737781,0.000322724,0,0.003523251,0.002554674,0.002886135,0.001831363,0.001670364
之外,0.012395254,0,0,0,0,0,0,0,0,0
二銨,0.012395254,0,0,0,0,0,0,0,0,0
五氧化二磷,0.012395254,0,0,0,0,0,0,0,0,0
亦,0.007462687,0,0.003278689,0.002123142,0,0,0.004201681,0.009493671,0,0
亦將,0.008663911,0,0,0.004929784,0,0,0,0,0,0
仍,0.008663911,0,0,0,0,0,0,0.007347874,0,0
以,0.001201224,0.00351834,0,0.000683499,0.001670907,0.001065987,0,0.00101876,0.001551461,0.001768836
估計,0.012395254,0,0,0,0,0,0,0,0,0
低,0.012395254,0,0,0,0,0,0,0,0,0
低階,0.012395254,0,0,0,0,0,0,0,0,0
作物,0.012395254,0,0,0,0,0,0,0,0,0
供,0.012395254,0,0,0,0,0,0,0,0,0
供給,0.008663911,0,0.003806439,0,0,0,0,0,0,0
依,0.004932568,0,0.002167095,0,0.004574146,0,0,0.008366634,0,0
依據,0.001920049,0.002811875,0.00337425,0.001092512,0,0.001703885,0.002162072,0,0,0.002827325
促進,0.004932568,0,0.002167095,0.005613283,0,0,0,0,0.003185369,0
先前,0.024790508,0,0,0,0,0,0,0,0,0
公告,0.005499743,0.004027134,0.002416281,0,0,0,0.003096494,0.009328678,0,0.014172415
公噸,0.043319554,0.012688132,0,0,0,0,0,0,0,0
公會,0.003731343,0.010928962,0.003278689,0,0,0,0,0.003164557,0,0.008241758
初步,0.012395254,0,0,0,0,0,0,0,0,0
利用,0.012395254,0,0,0,0,0,0,0,0,0
占,0.002749872,0.004027134,0.002416281,0.009388097,0.001275027,0,0,0,0,0.002024631
參考,0.012395254,0,0,0,0,0,0,0,0,0
受,0.004932568,0,0.002167095,0,0.002287073,0,0.00555432,0,0,0
可,0.005499743,0.004027134,0.002416281,0.003129366,0,0,0.006192988,0,0,0.004049262
同,0.008663911,0,0,0,0.004017177,0,0,0,0,0
向,0.003731343,0,0,0.002123142,0,0.003311258,0,0.003164557,0,0.002747253
單位,0.006481215,0,0,0,0.006010262,0,0,0,0,0.004771884
單質,0.012395254,0,0,0,0,0,0,0,0,0
因應,0.003731343,0.005464481,0.001639344,0,0,0.006622517,0,0,0,0.008241758
國際,0.003731343,0.005464481,0,0.006369427,0.005190311,0,0,0.003164557,0,0
在,0.000567176,0,0.000996742,0.000968173,0.001051925,0.000503322,0.001277337,0.000481022,0.00146509,0.000417591
多,0.004932568,0,0,0.002806641,0.004574146,0,0,0,0.003185369,0
多於,0.012395254,0,0,0,0,0,0,0,0,0
密切,0.006481215,0,0.005694969,0,0,0,0.007298175,0,0,0
實施,0.025991732,0,0.007612879,0,0,0,0,0,0,0
實際,0.012395254,0,0,0,0,0,0,0,0,0
對,0.006006121,0.00703668,0.001055502,0,0,0.002131974,0.002705278,0.00203752,0.001551461,0.003537671
少於,0.024790508,0,0,0,0,0,0,0,0,0
展開,0.002749872,0,0.002416281,0,0.002550054,0.002440283,0,0.004664339,0,0.004049262
工商部,0.024790508,0,0,0,0,0,0,0,0,0
已,0.007462687,0.005464481,0.003278689,0,0,0,0,0.003164557,0,0.002747253
年月日,0.010811018,0.00879585,0.001583253,0.000683499,0,0.001065987,0.002705278,0.004075039,0,0.000884418
廠商,0.007462687,0.021857923,0,0,0.008650519,0,0,0,0.004819277,0.005494505
影響,0.01119403,0,0.001639344,0.002123142,0,0,0.004201681,0,0,0.008241758
律師,0.006481215,0.009491615,0,0,0,0,0,0,0,0.004771884
惟,0.009865135,0,0.002167095,0.002806641,0,0,0,0.008366634,0,0
成份,0.012395254,0,0,0,0,0,0,0,0,0
我,0.003603673,0.00527751,0.003694257,0.000683499,0.001113938,0,0.001352639,0.004075039,0,0.003537671
我國,0.002402448,0.00527751,0.00527751,0.002733997,0,0,0.001352639,0.003056279,0.00077573,0.001768836
或,0.005499743,0,0.00120814,0.003129366,0,0,0.006192988,0.004664339,0,0.002024631
所受,0.012395254,0,0,0,0,0,0,0,0,0
所屬,0.008663911,0,0,0,0,0,0,0,0,0.006378923
排除,0.017327822,0,0,0,0,0,0.039024002,0,0,0
措施,0.011520295,0,0.012653439,0.001092512,0,0.003407769,0.004324144,0.004885188,0,0.008481975
提供,0.009865135,0.007223651,0,0.002806641,0,0,0,0,0,0.003631671
施肥,0.012395254,0,0,0,0,0,0,0,0,0
最終,0.003731343,0,0.004918033,0.002123142,0,0.003311258,0,0.003164557,0,0
會計師,0.008663911,0.012688132,0,0,0,0,0,0,0,0
有待,0.012395254,0,0,0,0,0,0,0,0,0
有限,0.012395254,0,0,0,0,0,0,0,0,0
期間,0.007462687,0.005464481,0,0,0.001730104,0,0,0.003164557,0,0.005494505
本,0.003731343,0,0.004918033,0,0,0.003311258,0.004201681,0.009493671,0,0
本次,0.019443645,0,0.005694969,0,0.006010262,0,0,0,0,0
案情,0.008663911,0,0,0,0,0,0,0,0,0.006378923
植物,0.024790508,0,0,0,0,0,0,0,0,0
業界,0.012395254,0,0,0,0,0,0,0,0,0
業者,0.002402448,0.00351834,0.000527751,0,0.000556969,0,0.002705278,0.005093799,0.00077573,0.002653254
正式,0.017327822,0,0,0,0,0.007688504,0,0,0,0
此次,0.012395254,0,0,0,0,0,0,0,0,0
每,0.049581016,0,0,0,0,0,0,0,0,0
比,0.008663911,0,0.007612879,0,0,0,0,0,0,0
氧化鉀,0.012395254,0,0,0,0,0,0,0,0,0
氮,0.012395254,0,0,0,0,0,0,0,0,0
決定,0.01296243,0,0.002847485,0,0,0.005751542,0,0,0,0
海關,0.004932568,0,0.00433419,0,0,0,0,0.008366634,0,0.003631671
涉案,0.017327822,0,0,0,0,0,0,0.014695747,0,0
為,0.005104581,0.002491854,0.000996742,0.000322724,0.002103849,0.002013286,0,0.001443067,0.000732545,0.001670364
為主,0.012395254,0,0,0,0,0,0,0,0,0
特定,0.01296243,0,0.002847485,0,0,0,0.007298175,0,0,0
生產,0.003731343,0,0,0,0,0.003311258,0.004201681,0.003164557,0,0.002747253
產品,0.004804897,0.00351834,0.003694257,0,0.001670907,0,0.005410556,0.005093799,0.001551461,0.004422089
用途,0.012395254,0,0,0,0,0,0,0,0,0
申請,0.003840098,0.002811875,0.000843563,0.001092512,0,0,0.008648289,0.001628396,0,0.001413663
發展,0.001920049,0,0.000843563,0.001092512,0,0.001703885,0.002162072,0.001628396,0,0.002827325
磷酸,0.024790508,0,0,0,0,0,0,0,0,0
稅,0.012395254,0,0,0,0,0,0,0,0,0
稅則,0.006481215,0,0.005694969,0,0,0,0,0.005496727,0,0
稅率,0.043319554,0.012688132,0,0,0,0,0,0,0,0
稅降,0.012395254,0,0,0,0,0,0,0,0,0
競爭,0.008663911,0,0,0,0,0,0,0.007347874,0,0
符合,0.004932568,0,0.002167095,0.002806641,0,0,0.00555432,0,0,0
等,0.001201224,0,0.000527751,0.002050497,0.002784845,0.002131974,0.002705278,0,0.003102921,0.001768836
管理局,0.012395254,0,0,0,0,0,0,0,0,0
約,0.01973027,0,0.008668381,0.005613283,0,0,0,0,0,0.007263341
統計,0.003731343,0.005464481,0.003278689,0,0,0,0,0.003164557,0,0.002747253
經濟部,0.003731343,0.010928962,0,0.004246285,0.003460208,0,0,0,0.004819277,0
總量,0.008663911,0,0,0,0,0,0,0,0,0.006378923
繳納,0.012395254,0,0,0,0,0,0,0,0,0
美元,0.017327822,0,0,0.009859567,0,0,0,0,0,0
者,0.017327822,0,0.007612879,0,0,0,0,0,0,0
聘請,0.008663911,0.012688132,0,0,0,0,0,0,0,0
肥料,0.074371525,0,0,0,0,0,0,0,0,0
臨時,0.06197627,0,0,0,0,0,0,0,0,0
自同,0.012395254,0,0,0,0,0,0,0,0,0
自本,0.012395254,0,0,0,0,0,0,0,0,0
至,0.014797703,0.014447302,0.008668381,0,0,0,0,0,0,0.003631671
至本,0.008663911,0,0,0,0,0,0.009756,0,0,0
